# planck auto-dispatch per-bucket timing sweep
# host=(unset)
# omp_num_threads=(unset)
# compiler=15.2.0
# columns: molecule,basis,engine,L_AB,L_CD,count,total_ms,ms_per_quartet
molecule,basis,engine,L_AB,L_CD,count,total_ms,ms_per_quartet
water,sto-3g,os,0,0,100,5.752,0.05752
water,sto-3g,hgp,0,0,100,7.818,0.07818
water,sto-3g,rys,0,0,100,2.813,0.02813
water,sto-3g,os,0,1,120,8.009,0.0667417
water,sto-3g,hgp,0,1,120,9.834,0.08195
water,sto-3g,rys,0,1,120,3.699,0.030825
water,sto-3g,os,0,2,60,4.736,0.0789333
water,sto-3g,hgp,0,2,60,5.196,0.0866
water,sto-3g,rys,0,2,60,31.367,0.522783
water,sto-3g,os,1,0,120,8.149,0.0679083
water,sto-3g,hgp,1,0,120,9.964,0.0830333
water,sto-3g,rys,1,0,120,3.745,0.0312083
water,sto-3g,os,1,1,144,12.66,0.0879167
water,sto-3g,hgp,1,1,144,12.809,0.0889514
water,sto-3g,rys,1,1,144,76.492,0.531194
water,sto-3g,os,1,2,72,7.868,0.109278
water,sto-3g,hgp,1,2,72,6.935,0.0963194
water,sto-3g,rys,1,2,72,38.488,0.534556
water,sto-3g,os,2,0,60,5.174,0.0862333
water,sto-3g,hgp,2,0,60,5.291,0.0881833
water,sto-3g,rys,2,0,60,31.732,0.528867
water,sto-3g,os,2,1,72,7.841,0.108903
water,sto-3g,hgp,2,1,72,6.775,0.0940972
water,sto-3g,rys,2,1,72,38.56,0.535556
water,sto-3g,os,2,2,36,5.43,0.150833
water,sto-3g,hgp,2,2,36,3.925,0.109028
water,sto-3g,rys,2,2,36,43.085,1.19681
water,6-31g*,os,0,0,784,32.097,0.0409401
water,6-31g*,hgp,0,0,784,37.182,0.047426
water,6-31g*,rys,0,0,784,13.413,0.0171084
water,6-31g*,os,0,1,1176,35.183,0.0299175
water,6-31g*,hgp,0,1,1176,43.02,0.0365816
water,6-31g*,rys,0,1,1176,16.375,0.0139243
water,6-31g*,os,0,2,1764,40.848,0.0231565
water,6-31g*,hgp,0,2,1764,41.562,0.0235612
water,6-31g*,rys,0,2,1764,245.84,0.139365
water,6-31g*,os,0,3,1008,18.748,0.0185992
water,6-31g*,hgp,0,3,1008,16.769,0.0166359
water,6-31g*,rys,0,3,1008,92.514,0.0917798
water,6-31g*,os,0,4,588,6.818,0.0115952
water,6-31g*,hgp,0,4,588,5.516,0.00938095
water,6-31g*,rys,0,4,588,59.217,0.100709
water,6-31g*,os,1,0,1176,36.666,0.0311786
water,6-31g*,hgp,1,0,1176,43.136,0.0366803
water,6-31g*,rys,1,0,1176,16.183,0.0137611
water,6-31g*,os,1,1,1764,48.999,0.0277772
water,6-31g*,hgp,1,1,1764,50.982,0.0289014
water,6-31g*,rys,1,1,1764,302.288,0.171365
water,6-31g*,os,1,2,2000,42.084,0.021042
water,6-31g*,hgp,1,2,2000,38.343,0.0191715
water,6-31g*,rys,1,2,2000,210.63,0.105315
water,6-31g*,os,1,3,1512,29.398,0.0194431
water,6-31g*,hgp,1,3,1512,21.589,0.0142784
water,6-31g*,rys,1,3,1512,226.687,0.149925
water,6-31g*,os,1,4,882,12.098,0.0137166
water,6-31g*,hgp,1,4,882,7.506,0.0085102
water,6-31g*,rys,1,4,882,67.582,0.0766236
water,6-31g*,os,2,0,1764,39.716,0.0225147
water,6-31g*,hgp,2,0,1764,41.861,0.0237307
water,6-31g*,rys,2,0,1764,245.764,0.139322
water,6-31g*,os,2,1,2000,40.55,0.020275
water,6-31g*,hgp,2,1,2000,38.669,0.0193345
water,6-31g*,rys,2,1,2000,211.592,0.105796
water,6-31g*,os,2,2,2000,36.137,0.0180685
water,6-31g*,hgp,2,2,2000,27.028,0.013514
water,6-31g*,rys,2,2,2000,280.915,0.140458
water,6-31g*,os,2,3,2000,36.627,0.0183135
water,6-31g*,hgp,2,3,2000,21.192,0.010596
water,6-31g*,rys,2,3,2000,186.875,0.0934375
water,6-31g*,os,2,4,1323,19.068,0.0144127
water,6-31g*,hgp,2,4,1323,9.142,0.00691005
water,6-31g*,rys,2,4,1323,96.301,0.0727899
water,6-31g*,os,3,0,1008,18.55,0.0184028
water,6-31g*,hgp,3,0,1008,16.921,0.0167867
water,6-31g*,rys,3,0,1008,92.903,0.0921657
water,6-31g*,os,3,1,1512,28.824,0.0190635
water,6-31g*,hgp,3,1,1512,21.502,0.0142209
water,6-31g*,rys,3,1,1512,228.538,0.151149
water,6-31g*,os,3,2,2000,37.259,0.0186295
water,6-31g*,hgp,3,2,2000,21.315,0.0106575
water,6-31g*,rys,3,2,2000,187.686,0.093843
water,6-31g*,os,3,3,1296,26.918,0.0207701
water,6-31g*,hgp,3,3,1296,11.785,0.00909336
water,6-31g*,rys,3,3,1296,129.124,0.0996327
water,6-31g*,os,3,4,756,13.548,0.0179206
water,6-31g*,hgp,3,4,756,5.243,0.00693519
water,6-31g*,rys,3,4,756,39.476,0.0522169
water,6-31g*,os,4,0,588,7.06,0.0120068
water,6-31g*,hgp,4,0,588,6.12,0.0104082
water,6-31g*,rys,4,0,588,69.478,0.11816
water,6-31g*,os,4,1,882,13.197,0.0149626
water,6-31g*,hgp,4,1,882,8.163,0.0092551
water,6-31g*,rys,4,1,882,86.621,0.0982098
water,6-31g*,os,4,2,1323,20.837,0.0157498
water,6-31g*,hgp,4,2,1323,9.708,0.00733787
water,6-31g*,rys,4,2,1323,102.18,0.0772336
water,6-31g*,os,4,3,756,13.152,0.0173968
water,6-31g*,hgp,4,3,756,5.005,0.00662037
water,6-31g*,rys,4,3,756,38.926,0.0514894
water,6-31g*,os,4,4,441,6.414,0.0145442
water,6-31g*,hgp,4,4,441,2.352,0.00533333
water,6-31g*,rys,4,4,441,16.784,0.038059
water,cc-pVDZ,os,0,0,784,220.666,0.281462
water,cc-pVDZ,hgp,0,0,784,267.196,0.340811
water,cc-pVDZ,rys,0,0,784,91.418,0.116605
water,cc-pVDZ,os,0,1,2000,236.158,0.118079
water,cc-pVDZ,hgp,0,1,2000,269.071,0.134536
water,cc-pVDZ,rys,0,1,2000,100.726,0.050363
water,cc-pVDZ,os,0,2,2000,132.192,0.066096
water,cc-pVDZ,hgp,0,2,2000,141.024,0.070512
water,cc-pVDZ,rys,0,2,2000,852.218,0.426109
water,cc-pVDZ,os,0,3,2000,82.696,0.041348
water,cc-pVDZ,hgp,0,3,2000,78.935,0.0394675
water,cc-pVDZ,rys,0,3,2000,429.543,0.214772
water,cc-pVDZ,os,0,4,588,17.944,0.030517
water,cc-pVDZ,hgp,0,4,588,14.018,0.0238401
water,cc-pVDZ,rys,0,4,588,159.125,0.270621
water,cc-pVDZ,os,1,0,2000,237.386,0.118693
water,cc-pVDZ,hgp,1,0,2000,278.896,0.139448
water,cc-pVDZ,rys,1,0,2000,104.779,0.0523895
water,cc-pVDZ,os,1,1,2000,109.117,0.0545585
water,cc-pVDZ,hgp,1,1,2000,115.078,0.057539
water,cc-pVDZ,rys,1,1,2000,719.09,0.359545
water,cc-pVDZ,os,1,2,2000,68.747,0.0343735
water,cc-pVDZ,hgp,1,2,2000,64.477,0.0322385
water,cc-pVDZ,rys,1,2,2000,350.324,0.175162
water,cc-pVDZ,os,1,3,2000,47.626,0.023813
water,cc-pVDZ,hgp,1,3,2000,34.767,0.0173835
water,cc-pVDZ,rys,1,3,2000,379.385,0.189692
